longitude,latitude,worldcover_code,worldcover_clase
-84.7059999999997,10.897000000000148,30,Grassland
-84.6969999999997,10.897000000000148,30,Grassland
-84.6879999999997,10.897000000000148,10,Tree cover
-84.6789999999997,10.897000000000148,40,Cropland
-84.6699999999997,10.897000000000148,10,Tree cover
-84.6609999999997,10.897000000000148,40,Cropland
-84.6519999999997,10.897000000000148,10,Tree cover
-84.6429999999997,10.897000000000148,10,Tree cover
-84.6339999999997,10.897000000000148,30,Grassland
-84.6249999999997,10.897000000000148,10,Tree cover
-84.6159999999997,10.897000000000148,10,Tree cover
-84.6069999999997,10.897000000000148,10,Tree cover
-86.24499999999976,10.906000000000148,80,Permanent water bodies
-86.23599999999976,10.906000000000148,80,Permanent water bodies
-86.22699999999976,10.906000000000148,80,Permanent water bodies
-86.21799999999976,10.906000000000148,80,Permanent water bodies
-86.20899999999976,10.906000000000148,80,Permanent water bodies
-86.19999999999976,10.906000000000148,80,Permanent water bodies
-86.19099999999976,10.906000000000148,80,Permanent water bodies
-86.18199999999976,10.906000000000148,80,Permanent water bodies
-86.17299999999976,10.906000000000148,80,Permanent water bodies
-86.16399999999976,10.906000000000148,80,Permanent water bodies
-86.15499999999976,10.906000000000148,80,Permanent water bodies
-86.14599999999976,10.906000000000148,80,Permanent water bodies
-86.13699999999976,10.906000000000148,80,Permanent water bodies
-86.12799999999976,10.906000000000148,80,Permanent water bodies
-86.11899999999976,10.906000000000148,80,Permanent water bodies
-86.10999999999976,10.906000000000148,80,Permanent water bodies
-86.10099999999976,10.906000000000148,80,Permanent water bodies
-86.09199999999976,10.906000000000148,80,Permanent water bodies
-86.08299999999976,10.906000000000148,80,Permanent water bodies
-86.07399999999976,10.906000000000148,80,Permanent water bodies
-86.06499999999976,10.906000000000148,80,Permanent water bodies
-86.05599999999976,10.906000000000148,80,Permanent water bodies
-86.04699999999976,10.906000000000148,80,Permanent water bodies
-86.03799999999976,10.906000000000148,80,Permanent water bodies
-86.02899999999975,10.906000000000148,80,Permanent water bodies
-86.01999999999975,10.906000000000148,80,Permanent water bodies
-86.01099999999975,10.906000000000148,80,Permanent water bodies
-86.00199999999975,10.906000000000148,80,Permanent water bodies
-85.99299999999975,10.906000000000148,80,Permanent water bodies
-85.98399999999975,10.906000000000148,80,Permanent water bodies
-85.97499999999975,10.906000000000148,80,Permanent water bodies
-85.96599999999975,10.906000000000148,80,Permanent water bodies
-85.95699999999975,10.906000000000148,80,Permanent water bodies
-85.94799999999975,10.906000000000148,80,Permanent water bodies
-85.93899999999975,10.906000000000148,80,Permanent water bodies
-85.92999999999975,10.906000000000148,80,Permanent water bodies
-85.92099999999975,10.906000000000148,80,Permanent water bodies
-85.91199999999975,10.906000000000148,10,Tree cover
-85.90299999999975,10.906000000000148,10,Tree cover
-85.89399999999975,10.906000000000148,10,Tree cover
-85.88499999999975,10.906000000000148,10,Tree cover
-85.87599999999975,10.906000000000148,10,Tree cover
-85.86699999999975,10.906000000000148,10,Tree cover
-85.85799999999975,10.906000000000148,10,Tree cover
-85.84899999999975,10.906000000000148,10,Tree cover
-85.83999999999975,10.906000000000148,10,Tree cover
-85.83099999999975,10.906000000000148,10,Tree cover
-85.82199999999975,10.906000000000148,10,Tree cover
-85.81299999999975,10.906000000000148,10,Tree cover
-85.80399999999975,10.906000000000148,10,Tree cover
-85.79499999999975,10.906000000000148,10,Tree cover
-85.78599999999975,10.906000000000148,10,Tree cover
-85.77699999999975,10.906000000000148,10,Tree cover
-85.76799999999974,10.906000000000148,10,Tree cover
-85.75899999999974,10.906000000000148,10,Tree cover
-85.74999999999974,10.906000000000148,10,Tree cover
-85.74099999999974,10.906000000000148,10,Tree cover
-85.73199999999974,10.906000000000148,10,Tree cover
-85.72299999999974,10.906000000000148,10,Tree cover
-85.71399999999974,10.906000000000148,30,Grassland
-85.70499999999974,10.906000000000148,10,Tree cover
-85.69599999999974,10.906000000000148,10,Tree cover
-85.68699999999974,10.906000000000148,10,Tree cover
-85.67799999999974,10.906000000000148,10,Tree cover
-85.66899999999974,10.906000000000148,10,Tree cover
-85.65999999999974,10.906000000000148,10,Tree cover
-85.65099999999974,10.906000000000148,10,Tree cover
-85.64199999999974,10.906000000000148,10,Tree cover
-85.63299999999974,10.906000000000148,10,Tree cover
-85.62399999999974,10.906000000000148,10,Tree cover
-85.61499999999974,10.906000000000148,10,Tree cover
-85.60599999999974,10.906000000000148,10,Tree cover
-85.59699999999974,10.906000000000148,30,Grassland
-85.58799999999974,10.906000000000148,10,Tree cover
-85.57899999999974,10.906000000000148,10,Tree cover
-85.56999999999974,10.906000000000148,10,Tree cover
-85.56099999999974,10.906000000000148,10,Tree cover
-85.55199999999974,10.906000000000148,10,Tree cover
-85.54299999999974,10.906000000000148,10,Tree cover
-85.53399999999974,10.906000000000148,10,Tree cover
-85.52499999999974,10.906000000000148,10,Tree cover
-85.51599999999974,10.906000000000148,10,Tree cover
-85.50699999999973,10.906000000000148,10,Tree cover
-85.49799999999973,10.906000000000148,10,Tree cover
-85.48899999999973,10.906000000000148,10,Tree cover
-85.47999999999973,10.906000000000148,10,Tree cover
-85.47099999999973,10.906000000000148,10,Tree cover
-85.46199999999973,10.906000000000148,10,Tree cover
-85.45299999999973,10.906000000000148,10,Tree cover
-85.44399999999973,10.906000000000148,10,Tree cover
-85.43499999999973,10.906000000000148,10,Tree cover
-85.42599999999973,10.906000000000148,10,Tree cover
-85.41699999999973,10.906000000000148,10,Tree cover
-85.40799999999973,10.906000000000148,10,Tree cover
-85.39899999999973,10.906000000000148,10,Tree cover
-85.38999999999973,10.906000000000148,10,Tree cover
-85.38099999999973,10.906000000000148,10,Tree cover
-85.37199999999973,10.906000000000148,10,Tree cover
-85.36299999999973,10.906000000000148,10,Tree cover
-85.35399999999973,10.906000000000148,30,Grassland
